Generation 	 Training Error 	 Unseen Error 	 Size 	 Depth 
0	46,208595689611535	46,196727576402225	15	3
1	46,125342407358325	46,11517307934549	15	3
2	29,6657437497988	30,708938936544044	23	6
3	29,23449602746558	30,236898829485014	23	6
4	7,188177912487632	6,884027451255624	7	3
5	7,188177912487632	6,884027451255624	7	3
6	7,041181686334517	6,661426707652025	25	6
7	7,041181686334517	6,661426707652025	25	6
8	7,041181686334517	6,661426707652025	25	6
9	7,041181686334517	6,661426707652025	25	6
10	7,031573983306287	6,667549581123593	25	6
11	7,031573983306287	6,667549581123593	25	6
12	7,031573983306287	6,667549581123593	25	6
13	7,028197482489808	6,680334728033311	25	6
14	7,028197482489808	6,680334728033311	25	6
15	7,028197482489808	6,680334728033311	25	6
16	7,028197482489808	6,680334728033311	25	6
17	7,028197482489808	6,680334728033311	25	6
18	7,028197482489808	6,680334728033311	25	6
19	7,028197482489808	6,680334728033311	25	6
20	7,028197482489808	6,680334728033311	27	6
21	7,028197482489808	6,680334728033311	25	6
22	7,028197482489808	6,680334728033311	25	6
23	7,028197482489808	6,680334728033311	23	6
24	7,028197482489808	6,680334728033311	25	6
25	7,028197482489808	6,680334728033311	23	5
26	7,028197482489808	6,680334728033311	25	6
27	7,028197482489808	6,680334728033311	27	7
28	7,028197482489808	6,680334728033311	25	6
29	7,028197482489808	6,680334728033311	25	6
30	7,028197482489808	6,680334728033311	27	7
31	7,028197482489808	6,680334728033311	25	6
32	7,028197482489808	6,680334728033311	25	6
33	7,028197482489808	6,680334728033311	25	6
34	7,028197482489808	6,680334728033311	23	6
35	7,028197482489808	6,680334728033311	25	6
36	7,028197482489808	6,680334728033311	25	6
37	7,028197482489808	6,680334728033311	25	6
38	7,028197482489808	6,680334728033311	25	6
39	7,028197482489808	6,680334728033311	25	6
40	7,028197482489808	6,680334728033311	25	6
41	7,028197482489808	6,680334728033311	27	6
42	7,028197482489808	6,680334728033311	27	6
43	7,028197482489808	6,680334728033311	27	6
44	7,028197482489808	6,680334728033311	27	6
45	7,028197482489808	6,680334728033311	25	6
46	7,028197482489808	6,680334728033311	27	6
47	7,028197482489808	6,680334728033311	27	6
48	6,99951647293606	6,607893507825684	133	8
49	6,99951647293606	6,607893507825684	133	8
50	6,941319046173163	6,565924214215778	127	8
51	6,876899236075328	6,376347681867933	129	8
52	6,5988636329984445	6,448449543776293	133	8
53	6,5988636329984445	6,448449543776293	133	8
54	6,598848317414449	6,44843908455796	135	9
55	6,598409025867589	6,44799976454787	139	10
56	6,598409025867589	6,44799976454787	137	10
57	6,5952071307169495	6,4451602032023825	137	10
58	6,546953187575136	6,397362562105783	135	9
59	6,515631425217177	6,197613571481054	125	9
60	6,482360967591277	6,297304862725824	133	9
61	6,403514661149507	6,246483643058383	145	11
62	6,383661392214219	6,237437106454022	233	14
63	6,367717038459005	6,217623693912348	119	8
64	6,367717038459005	6,217623693912348	119	8
65	6,3386071399755695	5,907592195153804	235	15
66	6,298646143417443	5,894834484023529	339	16
67	6,298644911138346	5,8948366941310955	333	16
68	6,290759808230653	5,868809711183285	331	16
69	6,290759808230653	5,868809711183285	331	16
70	6,194744474001638	6,044788409626153	317	17
71	6,189630699439401	6,049466774575958	331	17
72	6,189630699439401	6,049466774575958	331	17
73	6,187936480510419	6,047238947834246	333	17
74	6,187519636364533	6,055208721650945	325	17
75	6,18121485828417	6,1006120378676885	327	17
76	6,18121485828417	6,1006120378676885	327	17
77	6,18121485828417	6,1006120378676885	327	17
78	6,181192313382271	6,10068967229528	327	17
79	6,181192313382271	6,10068967229528	327	17
80	6,156959140568338	6,10580039342093	319	17
81	6,126095270934649	5,872650909857205	333	17
82	6,126095270934649	5,872650909857205	333	17
83	6,126095270934649	5,872650909857205	333	17
84	6,125916406320182	5,873762586654369	327	17
85	6,116759316110348	5,836979384548458	331	17
86	6,116759316110348	5,836979384548458	333	17
87	6,066007241053623	5,755232526061833	331	17
88	6,066007241053623	5,755232526061833	331	17
89	6,063794554478218	5,702538450106024	249	17
90	6,058555390925706	5,721307051561043	229	17
91	6,058555390925706	5,721307051561043	229	17
92	5,997186502836942	5,650638730159176	303	17
93	5,997186502836942	5,650638730159176	303	17
94	5,997186502836942	5,650638730159176	303	17
95	5,9083157764262655	5,571384211837451	315	17
96	5,9083157764262655	5,571384211837451	327	17
97	5,907364411994595	5,57031269271782	333	17
98	5,873895445725216	5,5672151500911875	341	17
99	5,8640738545693205	5,588898714861445	409	17
100	5,844244622455051	5,597975080437613	301	17
101	5,844244622455051	5,597975080437613	301	17
102	5,8210511106818075	5,596596133487091	305	17
103	5,8210511106818075	5,596596133487091	305	17
104	5,8210511106818075	5,596596133487091	305	17
105	5,820967575978438	5,59765558642133	303	17
106	5,820909870070506	5,598428942390691	307	17
107	5,818226081337238	5,594614803142319	303	17
108	5,8175211752299365	5,5934094058471855	311	17
109	5,8175211752299365	5,5934094058471855	311	17
110	5,817302224102639	5,593723894686979	309	17
111	5,817302224102639	5,593723894686979	309	17
112	5,785709592495325	5,670338427247867	307	17
113	5,785709592495325	5,670338427247867	351	17
114	5,785709592495325	5,670338427247867	351	17
115	5,785709592495325	5,670338427247867	355	17
116	5,776704664212133	5,661912941332877	351	17
117	5,775957289218877	5,661149385257589	351	17
118	5,762852508469717	5,668425836276557	307	17
119	5,762852508469717	5,668425836276557	307	17
120	5,7615927422922315	5,674128802994845	307	17
121	5,7612478827174955	5,6701626127928195	305	17
122	5,747514144128671	5,682766905393878	369	17
123	5,743090517647719	5,63593609948513	305	17
124	5,743090517647719	5,63593609948513	305	17
