Generation 	 Training Error 	 Unseen Error 	 Size 	 Depth 
0	45,304987315938774	46,23092236242538	31	4
1	45,20357021754107	44,60819173522658	37	5
2	42,23432829801604	43,24826674723732	101	8
3	27,65866892526885	29,073292946152726	163	13
4	26,40002208103779	27,20633628613601	177	11
5	23,219330147167284	24,00636310245609	453	17
6	23,21933013172407	24,00623287814445	933	19
7	21,400107432251726	22,751981675451713	991	20
8	21,036501893109172	21,906850055785352	2833	23
9	21,03650189310917	21,906850055785352	5717	25
10	17,68090415390659	18,465924431103073	6635	26
11	13,428793333267752	14,588056738352998	19229	29
12	12,67069179879886	13,224982458728705	12395	29
13	11,879937139965861	12,673497822053983	50185	33
14	11,879937139965861	12,673497822053983	50185	33
15	11,289262288838607	12,080235212198465	80523	36
16	10,723997586446622	10,534041167398646	192009	38
17	10,723997496373903	10,534041240169723	434437	41
18	10,621291805535215	10,723714130649151	843415	43
19	10,312667202761663	10,56816801743338	1668273	45
20	10,301477696846565	10,576711557911025	2640247	47
21	10,274418549889221	10,649595622827693	5014853	49
22	9,996002319250977	10,288786254735438	5014857	50
23	9,933413434826429	10,351275155468837	22003709	53
24	9,898812637715004	10,256908115793173	28186725	55
25	9,74574180379552	10,306177313995677	58763213	57
26	9,720561194693522	10,131710797664647	116945405	59
27	9,720561194693522	10,131710797664647	116945405	59
28	9,60355502646937	10,009039973025672	502077177	63
29	9,60355502646937	10,009039973025672	935179505	65
30	9,572476963334566	9,972188468125418	669134593	66
31	9,565066478952422	9,741368842001869	1926714347	68
32	9,501586615224705	9,85561068848457	-689092545	70
33	9,479942333402684	9,895100506901155	159250587	73
34	9,296284933190611	9,579043561733297	1872491355	75
35	9,291133890787037	9,555063673305579	2018895551	77
36	9,281260545135025	9,53290248000403	-980694375	78
37	9,281260545135025	9,53290248000403	-980694375	78
38	9,248605370641815	9,516324555789529	181597009	83
39	9,206178854045481	9,5580013864319	-234445545	84
40	9,206178854045481	9,5580013864319	-234445545	84
41	9,143642610833238	9,353731241909143	-1715649653	88
42	9,093581710570714	9,341129954923336	-215183935	90
43	9,093581710570714	9,341129954923336	1590435317	93
44	8,908576187834656	9,198921252164064	-1880169155	94
45	8,908576187834656	9,198921252164064	-57494235	97
46	8,858212878114033	9,155320466366495	1027648713	99
47	8,858160727429956	9,155369828847821	1530289481	101
48	8,847195920821234	9,029623781567494	-1450244451	102
49	8,847195920821234	9,029623781567494	-1497440575	105
50	8,816610884250133	9,112967417745125	-1497440567	106
51	8,723062851338424	8,995012843524584	-418651475	109
52	8,723062851338424	8,995012843524584	301410229	111
53	8,71849247700074	8,960281910628838	301410239	112
54	8,700977555154644	8,803613717761618	-2100164991	114
55	8,631136056608792	8,78522718808401	396047571	117
56	8,63112709342791	8,785298118410807	792095181	119
57	8,61861015245783	8,790195496814794	-2093070173	121
58	8,613253435559953	8,783533519518754	-834400401	123
59	8,533829753029474	8,81380352829263	1523550575	125
60	8,53382644847235	8,813618365038684	1834448441	127
61	8,53381179307213	8,813589120551965	918590007	129
62	8,124224727645087	8,50237849383468	-1026137579	130
63	8,106974463143395	8,559807861356452	1248361475	133
64	7,746562871771813	8,04025209154664	-1881878909	134
65	7,717376623163579	8,058705168730604	-1321120149	137
66	7,5151343924092044	7,670140075355907	1638379521	138
67	7,492242865861768	7,670457178160261	1638379531	139
68	7,359722830042442	7,606605064492553	-186077443	142
69	7,359722830042442	7,606605064492553	-186077443	142
70	7,359722830042442	7,606605064492553	-186077443	142
71	7,226155020284079	7,500595888634929	-1428211295	148
72	7,2251015977731425	7,4712241320717565	-1428211273	149
73	7,195184646773352	7,452484266110682	-1099805059	153
74	7,098815442418173	6,83059388313435	1818703	154
75	6,657340557281342	6,584374906018064	-79225055	157
76	6,639654376351102	6,738559722281024	408088221	158
77	6,625892063558678	6,749451686384397	-925312477	161
78	6,620514462286203	6,764235755803757	562809659	162
79	6,554055523180138	6,703108864664756	-109135975	164
80	6,4954208369006805	6,647038215433252	1726440705	167
81	6,4954208369006805	6,647038215433252	1726440705	167
82	6,495420836900679	6,647038215433253	-842085879	169
83	6,446665250317373	6,505643074035374	-1254906397	172
84	6,431593742369996	6,517857796636785	-1356101187	175
85	6,406337503941247	6,527101694080456	-1338648831	177
86	6,260299395710227	6,461867764774295	1003459575	178
87	6,260299395710227	6,461867764774295	1986900471	181
88	6,260297039532357	6,461863316224768	2031399973	183
89	6,25990913375198	6,452563985003385	1274929269	185
90	6,233959018678579	6,372368416669351	-39800857	186
91	6,232275503150813	6,376654564021985	1235128431	188
92	6,232173973824291	6,389115687321502	844342647	190
93	6,229095617549855	6,415133956114349	-740547061	193
94	6,220317880833911	6,383349302743702	1248457509	195
95	6,220317880833911	6,383349302743702	1248457509	195
96	6,220317880833911	6,383349302743702	1248457509	195
97	6,12698742007451	6,36732832721059	-1528873837	200
98	6,126972972670513	6,368775504988115	968041211	202
99	6,1132068374564685	6,367849351966818	968041225	203
100	6,107830374517957	6,373088446944613	-11357753	207
101	6,107830374517957	6,373088446944613	-11357753	207
102	6,107830374517957	6,373088446944613	-11357753	207
103	6,103076138873359	6,36412103764166	-1697513787	213
104	6,101628724186758	6,364112558357687	429359445	215
105	6,101628724186758	6,364112558357687	1716320537	217
106	6,101628724186758	6,364112558357687	1716320537	217
107	6,101628724186758	6,364112558357687	1716320537	217
108	6,078940247531535	6,421075761993598	1017795917	222
109	6,05172139180167	6,331240401380006	-403408217	224
110	6,038754909491793	6,3358461958309835	1617416483	227
111	6,038049484704082	6,338356121019508	-862810895	229
112	5,998972067139682	6,375031531731159	1646388219	231
113	5,983289466842402	6,333673908420274	-1887959575	232
114	5,9789923382572505	6,327878406075305	513034291	235
115	5,9627428631997565	6,2297598149784665	-116706895	236
116	5,943393676660198	6,226353473317566	1864368019	238
117	5,9179558726225086	6,189993199844495	533758167	241
118	5,913605178083668	6,168346048449166	1657764181	242
119	5,913338381534848	6,168357766558947	-1987472871	245
120	5,911931259009557	6,200526848918462	1604718027	247
121	5,908501219621067	6,20190549120267	1604718049	248
122	5,891235609953624	6,229921423150693	-494413997	250
123	5,891235609953624	6,229921423150693	-494413997	250
124	5,882547505215132	6,203028556643703	-239377095	255
125	5,878890805603916	6,208195781347838	331867783	257
126	5,876315609631531	6,206445473085402	-429901609	259
127	5,8749573959438255	6,198309231307298	959425033	261
128	5,8749573959438255	6,198309231307298	805441719	263
129	5,866592207646718	6,184691472342853	2021643055	265
130	5,866330481432741	6,186063491176831	2011293115	267
131	5,864514793569713	6,162015307859422	2011293133	268
132	5,860873232098176	6,1753083677163625	-104362801	271
133	5,860873232098176	6,1753083677163625	-1746603901	273
134	5,807604352681011	6,178536582725096	1682610327	274
135	5,807604352681011	6,178536582725096	1682610327	274
136	5,807583461840543	6,178485897317874	614355597	279
137	5,806640773088957	6,166470084635285	212601049	281
138	5,80568502218743	6,16174770183343	-973716461	283
139	5,804432053726394	6,159374189733362	-1399473945	285
140	5,804240180122556	6,157812255108753	-1793658747	287
141	5,800002892511221	6,158863393102769	-993879321	289
142	5,799150197649379	6,13439776882651	603652311	291
143	5,78893454482956	6,155042667911841	1635645469	293
144	5,78893454482956	6,155042667911841	2089759985	295
145	5,78845691168134	6,155418760561556	130506859	297
146	5,783981128471395	6,111864813592041	1358309239	299
147	5,778388807492588	6,1138155462716925	1993440137	301
148	5,778388807492588	6,1138155462716925	1993440137	301
149	5,769516572372446	6,141102672487355	1626759369	304
150	5,769516572372446	6,141102672487355	1626759375	305
151	5,769467929304161	6,1404013116208995	-2038950029	309
152	5,763496532350517	6,119803559772314	-1077409329	310
153	5,763349585369241	6,135338696289927	-2072870617	313
154	5,7589777297632425	6,128193478524243	-1666237341	315
155	5,7589777297632425	6,128193478524243	-1666237323	316
156	5,753951516994746	6,112585150941868	-1894142739	319
157	5,753951516994746	6,112585150941868	-1894142739	319
158	5,753325087657668	6,1164890052763115	1655774925	323
159	5,746829411593701	6,118354972215039	225458909	324
160	5,739864242500892	6,109200097529736	-1387441989	327
161	5,726385120288261	6,092355714358312	-1203767979	329
162	5,726385120288261	6,092355714358312	-359725535	331
163	5,716330740257976	6,140566106686978	-1030189769	333
164	5,7051541703266215	6,129832780393409	-1827986237	335
165	5,7051541703266215	6,129832780393409	638994869	337
166	5,7051541703266215	6,129832780393409	1689064495	339
167	5,697549960829447	6,1240194551723555	-1928280973	341
168	5,690766417478082	6,147611815970615	1144580907	342
169	5,690766417478082	6,147611815970615	1144580907	342
170	5,680221515180116	6,139486717789896	-55799555	347
171	5,680221515180116	6,139486717789896	-55799531	348
172	5,680221515180116	6,139486717789896	-55799531	348
173	5,680221515180116	6,139486717789896	-55799531	348
174	5,666790599595379	6,129477050071907	-1186077543	355
175	5,666790599595379	6,129477050071907	-1186077543	355
176	5,666790599595379	6,129477050071907	-1186077543	355
177	5,666790536163317	6,129476978055568	-1320898309	361
178	5,666785123084838	6,129743401048626	-1569753299	363
179	5,666785123084838	6,129743401048626	1155460725	365
180	5,625827963990693	6,154720833080604	-605958581	367
181	5,624624590829923	6,158693458651689	1704962883	369
182	5,624206950915455	6,159872813748256	1242090995	371
183	5,6241951255936895	6,15979702599069	-1778281371	373
184	5,623168895389989	6,139110811148843	-1262289597	375
185	5,623168895389989	6,139110811148843	-864283025	377
186	5,621060230917325	6,155277566971948	-940823185	379
187	5,620723682809426	6,156880556104384	2095346217	381
188	5,616741450070848	6,1733851211696775	659648659	382
189	5,616261251398205	6,157808947549713	-2124737063	385
190	5,60993971918533	6,166230495053651	-934070293	387
191	5,6058016909696065	6,45075462544368	-1938504849	388
192	5,592427515654829	6,414416222288676	653595661	391
193	5,5917630818830455	6,296557407468517	1213640405	393
194	5,5872709722749505	6,2396350424573255	-858954695	395
195	5,573302243065009	6,22311827045114	1875003955	397
196	5,573302243065009	6,22311827045114	1875003955	397
197	5,573302243065009	6,22311827045114	-1547937089	401
198	5,573029666228683	6,255620636574876	-1168300419	403
199	5,573005283851592	6,248344924673528	1962185063	405
200	5,562873079049206	6,210895328124201	-34586907	406
201	5,5620548295491945	6,21431884285644	13232797	409
202	5,55479574748057	6,235293890268214	873459633	411
203	5,552489996627689	6,231602415498624	1247352839	413
204	5,552128389528957	6,236458507700312	-1030956185	415
205	5,548912947125777	6,260719663032635	1328919147	417
206	5,489188069682994	6,279830848402389	534904841	418
207	5,489188069682994	6,279830848402389	534904841	418
208	5,489187313225399	6,279830092041354	775354545	423
209	5,4774014869097325	6,198395349707927	-1871804695	425
210	5,469730704614337	6,191098132521436	-885622705	427
211	5,4625043491817875	6,2264280455217795	-157774615	429
212	5,460751278740338	6,187274430424467	-473984235	431
213	5,460143992824166	6,1960764191610895	-376421625	433
214	5,454735658839676	6,227436673376519	-1204198969	435
215	5,441972842600888	6,201886939711273	1416072303	437
216	5,4419728426008875	6,201886939711272	-1462822671	439
217	5,4419728426008875	6,201886939711272	-1000564387	441
218	5,440364585505306	6,188059657427438	577502697	443
219	5,438207848060671	6,199320041418517	-1514658515	445
220	5,43735281475466	6,199542454940171	1163623135	447
221	5,437287429932138	6,194730893597816	-1327311409	449
222	5,43613332995432	6,191908909671939	-1292300623	451
223	5,428306663843906	6,194111395228793	1126661443	452
224	5,422076460533446	6,1890526289897	573007135	455
225	5,419048380327219	6,207352406273715	573007145	456
226	5,419030318784079	6,207312583589268	1590133911	459
227	5,419030318784079	6,207312583589268	1590133911	459
228	5,41764282977322	6,20148567828357	-1446508285	463
229	5,414501043923969	6,2073963874247715	2059718791	465
230	5,414501043923969	6,2073963874247715	2059718799	466
231	5,4133766420321425	6,206660135048094	-961891203	469
232	5,410586764998062	6,150110433373643	124338563	470
233	5,399345014229667	6,169699664692292	1296355753	473
234	5,395001490780585	6,155448568299856	-1594238763	475
235	5,392668611736172	6,162194729768509	24506071	477
236	5,391548614417672	6,162249992874587	1004570623	479
237	5,391548614417672	6,162249992874599	467004249	481
238	5,391548614417672	6,162249992874599	467004249	481
239	5,3903406108427845	6,160066419368927	-703796291	485
240	5,390339241674433	6,160488728992866	887115223	487
241	5,3846898129670375	6,170947098042724	-1327677409	489
242	5,382921180182228	6,167701990608045	1849818195	491
243	5,379893914112642	6,160874623698418	349634457	493
244	5,378478198555727	6,160584485950066	-1505007237	495
245	5,378478198555727	6,160584485950066	-1505007237	495
246	5,378478186572034	6,1605974485724895	143815149	499
247	5,377709943561127	6,159922993940821	1349267145	501
248	5,376972365084008	6,162000502786399	-594061705	503
249	5,376972365084008	6,162000502786399	980477667	505
250	5,342373482327915	6,162734397713154	-398762777	506
251	5,340244883940553	6,15096945716531	-332962305	509
252	5,340244883940553	6,15096945716531	-332962305	509
253	5,335807493815023	6,157819492578886	-1169813127	513
254	5,335807493815023	6,157819492578886	-1169813127	513
255	5,335004554274308	6,153381576014463	390686783	517
256	5,331901574332964	6,143358999019404	-1026870017	519
257	5,331901574332964	6,143358999019404	-1026870017	519
258	5,33148379220523	6,139605440669547	-513066277	523
259	5,330246490410654	6,139638946088716	-726617773	525
260	5,329928766784945	6,139943478644596	-726617747	526
261	5,329740905396321	6,141679366138903	-1524491049	529
262	5,328019477757738	6,141880318257186	1655656415	531
263	5,327157406321692	6,139477419392921	-2130519071	533
264	5,327157401076716	6,13947741965241	2100757959	535
265	5,326509155262579	6,138913416860465	-904234167	537
266	5,325027798759638	6,143309522923006	-1085687263	539
267	5,325027798759638	6,143309522923006	-1085687263	539
268	5,324958874118904	6,143145822547141	4340461	543
269	5,324958874118904	6,143145822547141	-683756565	545
270	5,324671455085239	6,1423211567645515	-1800346449	547
271	5,3245745189459	6,142676253650028	-960396667	549
272	5,324534683769243	6,142440310732271	-1637119489	550
273	5,3244347512397585	6,142580701073814	613421359	553
274	5,3244347512397585	6,142580701073814	613421359	553
