Generation 	 Training Error 	 Unseen Error 	 Size 	 Depth 
0	50,64035529464491	50,35104453532395	17	3
1	29,35988110661056	27,296327199310145	21	4
2	27,859200238597513	26,960861221463603	19	4
3	26,618097661397485	26,479759711004693	23	5
4	16,548074352164953	16,308836755941016	13	3
5	8,550354080022997	8,100475365569055	12	4
6	7,236173178662472	6,747053617667349	12	4
7	7,236173178662472	6,747053617667349	9	3
8	7,195054563610852	6,694023124053937	12	4
9	7,194129641849919	6,693039187534421	19	5
10	7,165799887030154	6,719167114406841	15	4
11	7,123387179911799	6,726261522094756	17	5
12	6,8076632001371395	6,519553663535617	20	6
13	6,7626760533376045	6,677017178609194	22	6
14	6,576380253489227	6,374683926714873	20	7
15	6,576380253489227	6,374683926714873	20	7
16	6,576380253489227	6,374683926714873	20	7
17	6,521388776114513	6,341307009888896	31	8
18	6,521343528779632	6,341265339179504	41	8
19	6,470105315693708	6,446964251426404	38	9
20	6,423545925178209	6,4130822887234915	37	9
21	6,344234605794658	6,300959445598418	30	8
22	6,32279720069695	6,220392081527433	34	10
23	6,281765213895457	6,158299078587994	35	10
24	6,279305384414934	6,1607708973508855	36	11
25	6,261799721921538	6,306055548474217	44	12
26	6,240480912426942	6,265946264908283	46	13
27	6,236961884863102	6,247062115445721	50	13
28	6,200261988122132	6,084651037052052	61	14
29	6,190558321871734	6,070243361430101	62	14
30	6,072448212661378	5,987051187413685	58	16
31	6,07243096345272	5,987054977921063	53	15
32	6,052083932899549	5,999855723109627	59	15
33	5,9885103278461385	5,930918748826493	53	12
34	5,985621228530758	5,971739977298177	57	13
35	5,972521085074181	5,954253719472111	50	12
36	5,96710378678042	5,949864305546261	55	13
37	5,9045822483727335	5,879611309322339	59	15
38	5,865826287450233	5,875671109701261	53	12
39	5,865826287450233	5,875671109701261	53	12
40	5,862544774723287	5,868834231751907	49	12
41	5,861673158880989	5,864447459545143	49	12
42	5,855673246382357	5,926421061179103	58	14
43	5,847482989776258	5,8694249340717475	53	13
44	5,833698667046775	5,8560907307253105	61	14
45	5,831680301320532	5,86618962954753	54	14
46	5,739162713860769	5,74498754757187	67	16
47	5,691428412159907	5,700874744151657	73	16
48	5,665575297915077	5,750120139306037	68	15
49	5,662594397652076	5,753483837092856	61	14
50	5,647755964431887	5,825796728516418	75	16
51	5,6014606151280715	5,790851378864335	79	16
52	5,587326987979179	5,811064218591948	87	16
53	5,587326987979179	5,811064218591948	87	16
54	5,544145687938507	5,847642290866908	91	16
55	5,5227406104429235	5,8278544589655	90	16
56	5,5209078658754445	5,7744525355084315	83	16
57	5,49597859896712	5,692554139256141	81	15
58	5,41990052292208	5,964951071075944	91	16
59	5,410982348774418	5,951555242952001	93	16
60	5,410969934153066	5,951541428583842	93	16
61	5,3860114733019655	5,92639990166527	89	16
62	5,385881131220022	5,926235290875376	89	16
63	5,368224403368667	5,903629818431633	93	16
64	5,365792595532418	5,901870115692986	89	16
65	5,339807769283476	5,9187437208354785	93	16
66	5,339807769283476	5,9187437208354785	93	16
67	5,280596957548934	6,861172294476391	103	16
68	5,272486396853812	6,842604328338088	113	16
69	5,271109607722054	6,842178929787871	113	16
70	5,269385422173374	6,839492367158975	113	16
71	5,25284323755156	6,7405991553312035	104	17
72	5,252150191341133	6,737678537174692	109	17
73	5,251932703829708	6,7375569893915666	109	17
74	5,251064530148462	6,737871416990537	111	17
75	5,245064618868811	6,7468885212703436	113	17
76	5,244491503151408	6,7467733561592995	113	17
77	5,242244856633712	5,745649032787824	109	17
78	5,2360757928910315	5,733331915973717	109	17
79	5,229128656776433	5,7109980526538955	109	17
80	5,228374696776284	5,737497712987023	110	17
81	5,223699557469815	6,734023188572581	121	17
82	5,209220656772937	6,710380465596862	121	17
83	5,153873186965116	6,6912001110413755	129	17
84	5,131583601078698	6,676050819969631	133	17
85	5,131493466330478	6,675983961702187	134	17
86	5,1314934628137445	6,6759839381026564	133	17
87	5,130536501122678	6,675579506489309	133	17
88	5,111622093950719	5,699520126254526	126	17
89	5,095615742814661	5,703416832199312	127	17
90	5,090390137953679	5,685058395999291	127	17
91	5,087036479297754	5,683413545604857	130	17
92	5,016894440404437	5,6437924025492725	129	17
93	5,003386773069444	5,620793247231444	127	17
94	5,003386773069444	5,620793247231444	127	17
95	4,998256724854087	5,619645789982012	129	17
96	4,998256724854087	5,619645789982012	129	17
97	4,998256724854087	5,619645789982012	129	17
98	4,990890371681574	5,6207347399529155	127	17
99	4,9807588734522374	5,615170524269625	126	17
