Generation 	 Training Error 	 Unseen Error 	 Size 	 Depth 
0	62,138584715454456	60,5076390567941	9	2
1	45,91907151496991	44,27876916930358	8	2
2	31,168283152098905	31,01772884744869	12	3
3	20,09957126368202	20,915174034944684	13	4
4	13,389979210844693	14,34171741351047	12	3
5	10,958877896238523	12,063240830136525	12	4
6	10,260730621192945	11,46270195963716	13	4
7	8,604334551052663	9,763695303078924	18	5
8	8,339873198309503	9,534113109946246	18	5
9	8,187718426669884	9,556861940406261	27	6
10	7,867046711569581	9,312257160120618	31	7
11	7,6910814238373595	9,069521102427027	32	8
12	7,66215176571882	9,03480390955035	36	8
13	7,590851480479793	8,72991101750466	37	9
14	7,317390828853522	8,458177304123454	41	10
15	7,218681630654168	8,533034380754113	46	11
16	7,02876666418006	8,247228029920786	49	11
17	6,995835615778254	8,226057490483997	51	12
18	6,548981288422602	8,045036272563287	53	12
19	6,295124434373425	7,367402737324388	58	12
20	6,244043031258507	8,295314377459329	58	13
21	6,218551640600517	8,237775315449548	62	13
22	6,158423228206948	8,174483293157978	56	12
23	6,130787239803422	8,1018674974291	63	13
24	6,096283486155049	8,074714252557738	65	13
25	6,062899648396215	8,09185724258309	69	13
26	6,051137339388368	8,068182284831414	66	13
27	6,0079949364707215	8,089714735442993	71	13
28	5,990700868351999	8,206099900603068	71	14
29	5,972165929673363	8,169083894122288	74	14
30	5,939671362362186	8,050793258566369	82	14
31	5,920365773948933	7,925172492960369	84	14
32	5,897768124047421	7,987521253644157	86	14
33	5,87029611129021	7,965968439478684	81	14
34	5,823242374055015	8,044202081277417	87	14
35	5,780965028201966	8,17270008150263	88	14
36	5,751268818353956	8,155705357624337	86	14
37	5,7336216992705165	8,171884457232785	88	14
38	5,713494042865283	8,191549264150213	91	13
39	5,6962577192462085	8,373299885575912	89	14
40	5,675016348543084	7,753281875742173	84	13
41	5,647851529298068	7,645136205639489	88	13
42	5,6299231608648315	7,791363400668484	89	14
43	5,597894803346784	7,670708009407773	93	14
44	5,575076629748921	8,58367023240722	95	14
45	5,527120723845715	8,590814366173555	101	14
46	5,498148082489482	8,64551693523653	102	15
47	5,482255297732494	8,537859880526593	103	15
48	5,455713078621405	8,475617946676964	105	15
49	5,450857143990935	7,868738020558201	102	15
50	5,433239649542075	8,30421435815975	106	15
51	5,404937173522119	8,191206908384444	101	15
52	5,3829880808565385	8,178590858481744	104	15
53	5,374065014882505	8,228979451623642	105	15
54	5,35071595473964	8,460278667573615	106	15
55	5,326167489663005	8,494156005832826	104	15
56	5,313266126345071	8,47266201828325	107	15
57	5,2983673166930885	7,739417575281363	107	15
58	5,28513219465809	7,787615101496725	110	15
59	5,266187778618428	7,567409855698687	113	16
60	5,253911506098726	7,555579893141075	112	16
61	5,240472385086421	7,507042876798916	112	15
62	5,2316950393997	7,518627259004768	113	15
63	5,217910726547026	9,847681979879493	113	15
64	5,211130611400167	9,931835201725512	115	15
65	5,201566941706479	9,922067284947497	113	15
66	5,195185266474732	10,184792305198211	115	15
67	5,184268059212788	10,237064865757018	115	15
68	5,175215278895412	10,197033393114388	120	15
69	5,167638621718961	10,522186549564688	123	16
70	5,151474043969407	10,422405873695778	124	16
71	5,144571177649599	9,845902172547428	127	16
72	5,121756776304934	9,837511025901252	128	15
73	5,108865117823103	8,116101650163465	130	15
74	5,099985087920593	8,081755519614683	131	16
75	5,092046584339068	8,082721446951597	134	16
76	5,080640128804701	8,897436798977258	134	16
77	5,068311546642139	8,886465592678007	131	16
78	5,053471630893529	8,899214632437992	135	15
79	5,046759424966938	7,997704751770113	136	15
80	5,026240061675271	8,010545429319999	134	16
81	5,017605626365549	7,986691852598426	134	15
82	5,0054306852860195	7,952820210734343	135	16
83	4,995214918497782	7,91172556563998	133	15
84	4,982185124560961	7,882079065903422	134	15
85	4,974544816075673	7,8912347569172505	134	15
86	4,9694260731378845	8,01411048383925	136	15
87	4,959652731403009	8,11069770745714	136	15
88	4,952800567310747	8,114529320165337	139	16
89	4,945555593513566	8,072540732843136	140	16
90	4,9303191443644625	7,035724204145541	140	16
91	4,915412155265861	6,909760330597133	140	16
92	4,9063505411794655	6,979005245655892	144	16
93	4,899151962546958	7,241321590244153	143	16
94	4,8831103390215285	7,237031922559139	146	16
95	4,876118052654632	7,223348831318278	146	16
96	4,873424195570134	7,152280494950314	148	16
97	4,867524947027072	7,299628705072933	147	16
98	4,852408002812391	7,274393711454806	146	16
99	4,843106981889864	7,296615566474831	147	16
100	4,8353279615840785	7,322419857607448	147	16
101	4,824883690244859	7,3590774870101585	151	16
102	4,812668825688933	7,203053931821569	150	16
103	4,797078374268647	7,2464611265105665	149	16
104	4,78650739959383	7,168868508649434	150	16
105	4,775601232547838	7,024761914556095	152	16
106	4,769843781021742	7,175616856070011	154	16
107	4,767859817305526	7,097456889584461	155	16
108	4,761066872089558	7,108057447180367	155	16
109	4,75644584844956	7,005219122030194	156	16
110	4,7497461764996	6,510092672724368	156	16
111	4,7464356684616265	6,4927854594008085	156	16
112	4,740320904856228	6,491959539765726	158	16
113	4,73052506369061	6,4356231529221875	157	16
114	4,726616013574366	6,299915494940088	158	16
115	4,722771815827882	6,295803006904566	158	16
116	4,717446909736401	6,282188779491586	158	16
117	4,712723211546728	6,3267028811909665	158	16
118	4,704859842755655	6,305942380794558	156	16
119	4,701873073350735	6,301409517951909	157	16
120	4,69473545798202	6,316081466670624	155	16
121	4,69189189771822	6,303115963950614	153	16
122	4,6859474202605025	6,336067182153352	153	16
123	4,681825460153132	8,09421076134569	156	16
124	4,673056254162445	8,112493055561284	164	16
125	4,66959287314196	8,088635740467963	165	16
126	4,659927042550548	8,076418629050712	166	16
127	4,65701122361187	8,084868956143305	167	16
128	4,647958350870256	8,09541758707503	171	16
129	4,638831572098844	8,128682347767162	169	16
130	4,6320107334456555	8,121711279169583	168	16
131	4,628576588093664	8,087108424666386	169	16
132	4,62290790129384	8,097305789536021	173	16
133	4,616363892769483	8,09568411802996	174	16
134	4,611279783726536	8,131945538814888	175	16
135	4,604741356699122	6,60453996183015	179	16
136	4,599957885197787	6,603525669374591	174	16
137	4,596067942604541	6,608076279111797	172	16
138	4,589547998045646	6,588277431760733	174	16
139	4,583066542655861	6,608363232044251	180	16
140	4,57796538893522	6,67510625584021	180	16
141	4,574531387704576	6,687003363963518	184	16
142	4,570574371248019	6,669737619151813	186	16
143	4,563483403256955	6,637188489578856	187	16
144	4,559991594775315	6,611060773270777	185	16
145	4,550929252098279	6,60705466760602	186	16
146	4,5453534860131795	6,57967399957676	186	16
147	4,537150793238768	6,514707092300705	189	16
148	4,532286534288271	6,495283637742431	191	16
149	4,525694582999893	6,487450362816121	187	16
150	4,515148275046113	6,505353544378008	191	16
151	4,508963202973344	6,525487545070912	195	16
152	4,502574612154405	6,529067339148538	194	16
153	4,496192549504091	6,492260967895289	193	16
154	4,48618870885799	6,4942616602027545	194	16
155	4,479865213966443	6,520204841026595	196	16
156	4,476472389226129	6,515240571595598	198	16
157	4,471690250595696	6,513212016331656	199	16
158	4,4660647122228925	6,500690744096747	201	16
159	4,460104526454235	6,487967917258402	199	16
160	4,4546972604179835	6,907104593341134	199	16
161	4,451044786135902	6,904336120336052	199	16
162	4,448143792283696	6,464713629798377	198	16
163	4,444321940085574	6,893021708125791	200	16
164	4,439705613912766	6,406466702882152	199	16
165	4,433131873018196	6,431542508891516	202	16
166	4,422298303233304	6,446296697710426	202	16
167	4,4178129560372215	6,448557060749474	202	16
168	4,41479704590787	6,880186619546904	202	16
169	4,411202392662888	6,930539375649926	201	16
170	4,395623108512258	7,326049178534659	205	16
171	4,392146333234023	7,265718621234915	205	16
172	4,3871842668324215	8,901198294785594	205	16
173	4,384923284756601	8,915447159858966	205	16
174	4,382783955228187	8,852942485449425	206	16
175	4,374507700314277	9,397784160739793	210	16
176	4,366556528958256	8,855303124493776	211	16
177	4,361698200160183	8,86243631069161	210	16
178	4,3608107985076225	8,875112936236265	211	16
179	4,3570290549623065	8,845175523375993	210	16
180	4,352640458494525	8,367824261279784	210	16
181	4,349044446041426	6,730549136540932	211	16
182	4,340753542144421	8,366092667536257	211	16
183	4,337736779634843	9,16761003457294	213	16
184	4,332151058598876	6,852110760792007	213	16
185	4,329912520532565	6,528227761087643	212	16
186	4,32564936727267	34,4771205304176	214	16
187	4,32264802129377	34,418064808655906	217	16
